date_time,is_holiday,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,traffic_volume,air_pollution_index
2012-10-03 15:00:00,None,55,5,350,3,3,295.17,0,0,1,Clear,5692,72
2012-10-03 16:00:00,None,55,4,320,1,1,295.13,0,0,1,Clear,6137,254
2012-10-03 18:00:00,None,55,5,330,4,4,293.66,0,0,20,Clouds,4623,129
2012-10-03 19:00:00,None,48,7,330,1,1,290.65,0,0,20,Clouds,3591,271
2012-10-03 20:00:00,None,42,6,320,1,1,288.19,0,0,20,Clouds,2898,259
2012-10-03 21:00:00,None,33,5,340,8,8,287.1,0,0,1,Clear,2637,61
2012-10-03 22:00:00,None,30,5,340,4,4,286.25,0,0,1,Clear,1777,286
2012-10-03 23:00:00,None,33,3,340,9,9,285.26,0,0,1,Clear,1015,151
2012-10-04 0:00:00,None,32,5,350,8,8,284.55,0,0,1,Clear,598,260
2012-10-04 1:00:00,None,37,5,350,5,5,283.47,0,0,1,Clear,369,234
2012-10-04 2:00:00,None,36,4,330,5,5,283.17,0,0,1,Clear,312,162
2012-10-04 3:00:00,None,39,6,340,1,1,282.04,0,0,1,Clear,367,65
2012-10-04 4:00:00,None,41,5,340,1,1,281.69,0,0,1,Clear,835,18
2012-10-04 5:00:00,None,44,5,350,4,4,281.32,0,0,1,Clear,2726,250
2012-10-04 6:00:00,None,44,4,340,4,4,280.74,0,0,1,Clear,5689,173
2012-10-04 7:00:00,None,47,4,350,2,2,280.57,0,0,1,Clear,6990,142
2012-10-04 8:00:00,None,50,4,360,5,5,281.86,0,0,1,Clear,5985,90
2012-10-04 9:00:00,None,75,0,0,6,6,284.98,0,0,1,Clear,5309,144
2012-10-04 10:00:00,None,57,0,0,8,8,289.18,0,0,1,Clear,4603,143
2012-10-04 11:00:00,None,70,1,320,1,1,291.55,0,0,1,Clear,4884,61
2012-10-04 12:00:00,None,93,0,0,4,4,294.97,0,0,1,Clear,5104,211
2012-10-04 13:00:00,None,84,0,0,6,6,296.38,0,0,1,Clear,5178,207
2012-10-04 14:00:00,None,75,0,0,7,7,297.32,0,0,1,Clear,5501,115
2012-10-04 15:00:00,None,57,0,0,2,2,298.17,0,0,1,Clear,5713,253
2012-10-04 16:00:00,None,53,1,63,5,5,298.06,0,0,20,Clouds,6292,242
2012-10-04 17:00:00,None,49,2,126,5,5,297.67,0,0,20,Clouds,6057,23
2012-10-04 18:00:00,None,45,3,190,5,5,296.36,0,0,40,Clouds,4907,234
2012-10-04 19:00:00,None,37,3,170,6,6,293.85,0,0,40,Clouds,3503,220
2012-10-04 20:00:00,None,28,3,190,5,5,292.43,0,0,40,Clouds,3037,210
2012-10-04 21:00:00,None,30,2,0,7,7,291.77,0,0,75,Clouds,2822,174
2012-10-04 22:00:00,None,26,4,140,4,4,291.36,0,0,75,Clouds,1992,58
2012-10-04 23:00:00,None,26,3,170,1,1,291.12,0,0,75,Clouds,1166,142
2012-10-05 0:00:00,None,26,3,200,6,6,290.63,0,0,75,Clouds,627,79
2012-10-05 1:00:00,None,30,3,180,9,9,290.46,0,0,40,Clouds,388,128
2012-10-05 3:00:00,None,34,2,150,4,4,289.26,0,0,0,Clear,368,148
2012-10-05 5:00:00,None,41,2,140,7,7,283.21,0,0,75,Clouds,2489,252
2012-10-05 6:00:00,None,47,3,140,3,3,282.24,0,0,90,Clouds,5537,190
2012-10-05 7:00:00,None,47,2,160,9,9,281.69,0,0,90,Clouds,6628,192
2012-10-05 8:00:00,None,47,2,160,9,9,280.57,0,0,90,Clouds,5534,59
2012-10-05 9:00:00,None,54,2,130,6,6,280.02,0,0,75,Clouds,5403,190
2012-10-05 10:00:00,None,71,0,0,5,5,280.11,0,0,75,Clouds,4770,134
2012-10-05 11:00:00,None,58,2,110,8,8,280,0,0,90,Clouds,5217,240
2012-10-05 12:00:00,None,76,2,150,9,9,280.53,0,0,90,Clouds,5870,12
2012-10-05 13:00:00,None,71,3,110,5,5,281.43,0,0,75,Clouds,5967,182
2012-10-05 14:00:00,None,71,1,110,5,5,281.78,0,0,90,Clouds,6108,90
2012-10-05 15:00:00,None,76,2,110,3,3,281.91,0,0,90,Clouds,6128,284
2012-10-05 16:00:00,None,76,2,120,2,2,281.73,0,0,90,Clouds,6069,228
2012-10-05 17:00:00,None,71,1,110,9,9,281.42,0,0,90,Clouds,6169,149
2012-10-05 18:00:00,None,54,0,0,8,8,280.87,0,0,90,Clouds,5384,72
2012-10-05 19:00:00,None,45,2,160,2,2,280.15,0,0,90,Clouds,4063,36
2012-10-05 20:00:00,None,35,2,0,6,6,279.78,0,0,90,Clouds,3364,205
2012-10-05 21:00:00,None,27,4,160,9,9,279.65,0,0,75,Clouds,2971,161
2012-10-05 22:00:00,None,25,4,180,4,4,279.22,0,0,40,Clouds,2450,261
2012-10-05 23:00:00,None,25,4,160,4,4,279.06,0,0,40,Clouds,1832,257
2012-10-06 0:00:00,None,23,5,150,6,6,278.81,0,0,90,Clouds,1231,163
2012-10-06 1:00:00,None,23,5,160,4,4,278.55,0,0,90,Clouds,718,219
2012-10-06 2:00:00,None,25,4,150,7,7,278.59,0,0,90,Clouds,545,31
2012-10-06 4:00:00,None,32,2,140,9,9,276.99,0,0,75,Clouds,411,79
2012-10-06 5:00:00,None,30,3,130,7,7,276.35,0,0,20,Clouds,688,28
2012-10-06 6:00:00,None,37,3,130,1,1,275.4,0,0,1,Clear,1352,110
2012-10-06 7:00:00,None,42,3,140,9,9,275.17,0,0,1,Clear,2072,171
2012-10-06 8:00:00,None,45,5,140,3,3,274.99,0,0,1,Clear,3342,148
2012-10-06 9:00:00,None,45,5,140,2,2,275.09,0,0,40,Clouds,4258,97
2012-10-06 10:00:00,None,48,5,140,2,2,276.88,0,0,20,Clouds,4861,46
2012-10-06 11:00:00,None,24,2,194,7,7,278.04,0,0,20,Clouds,5191,180
2012-10-06 12:00:00,None,24,0,248,6,6,279.08,0,0,40,Clouds,5669,269
2012-10-06 13:00:00,None,31,4,239,6,6,280.12,0,0,75,Clouds,5074,280
2012-10-06 14:00:00,None,62,9,230,7,7,280.25,0,0,75,Clouds,5025,264
2012-10-06 15:00:00,None,70,5,240,5,5,280,0,0,75,Clouds,5153,149
2012-10-06 16:00:00,None,70,9,240,5,5,279.06,0,0,90,Clouds,5024,77
2012-10-06 17:00:00,None,70,8,250,1,1,278.91,0,0,90,Clouds,4779,77
2012-10-06 18:00:00,None,70,7,250,1,1,278.39,0,0,90,Clouds,4362,178
2012-10-06 19:00:00,None,61,9,250,8,8,278.16,0,0,90,Clouds,3860,114
2012-10-06 20:00:00,None,65,9,260,2,2,278.16,0,0,90,Clouds,3160,67
2012-10-06 21:00:00,None,70,8,250,1,1,277.93,0,0,90,Clouds,2992,196
2012-10-06 22:00:00,None,70,10,270,5,5,276.9,0,0,90,Clouds,3202,65
2012-10-06 23:00:00,None,70,12,260,5,5,276.34,0,0,75,Clouds,1941,13
2012-10-07 0:00:00,None,70,10,260,2,2,276.11,0,0,75,Clouds,1233,294
2012-10-07 3:00:00,None,70,12,270,6,6,275.73,0,0,90,Clouds,323,26
2012-10-07 4:00:00,None,70,8,260,7,7,275.65,0,0,90,Clouds,312,246
2012-10-07 5:00:00,None,70,7,270,4,4,275.51,0,0,75,Clouds,627,259
2012-10-07 6:00:00,None,52,8,280,9,9,275.05,0,0,90,Clouds,1508,33
2012-10-07 7:00:00,None,52,8,290,3,3,274.77,0,0,90,Clouds,1539,125
2012-10-07 8:00:00,None,52,5,280,9,9,274.77,0,0,75,Clouds,2232,247
2012-10-07 9:00:00,None,56,7,290,7,7,275.55,0,0,75,Clouds,4568,178
2012-10-07 10:00:00,None,56,8,280,7,7,276.24,0,0,75,Clouds,4624,297
2012-10-07 11:00:00,None,56,7,290,1,1,277.01,0,0,90,Clouds,4529,250
2012-10-07 12:00:00,None,56,9,270,5,5,277.43,0,0,90,Clouds,5139,299
2012-10-07 13:00:00,None,56,8,270,5,5,278.45,0,0,90,Clouds,6640,260
2012-10-07 14:00:00,None,28,8,275,8,8,279.27,0,0,90,Clouds,6589,174
2012-10-07 15:00:00,None,56,9,280,1,1,279.27,0,0,90,Clouds,4429,150
2012-10-07 16:00:00,None,60,7,280,7,7,279.44,0,0,90,Clouds,4329,129
2012-10-07 17:00:00,None,64,6,270,5,5,279.32,0,0,90,Clouds,3833,170
2012-10-07 18:00:00,None,69,5,260,4,4,279.27,0,0,90,Clouds,4015,114
2012-10-07 19:00:00,None,80,4,260,1,1,278.11,0,0,90,Clouds,3382,101
2012-10-07 20:00:00,None,80,5,250,2,2,276.79,0,0,75,Clouds,2815,213
2012-10-07 21:00:00,None,60,7,280,4,4,275.73,0,0,90,Clouds,2110,49
2012-10-07 22:00:00,None,56,8,260,5,5,274.88,0,0,75,Clouds,1555,63
2012-10-07 23:00:00,None,45,8,290,9,9,273.92,0,0,20,Clouds,959,98
2012-10-08 0:00:00,Columbus Day,45,9,300,5,5,273.08,0,0,20,Clouds,455,144
2012-10-08 1:00:00,None,42,7,290,6,6,272.62,0,0,20,Clouds,336,11
2012-10-08 2:00:00,None,42,8,280,7,7,271.78,0,0,1,Clear,265,106
2012-10-08 3:00:00,None,45,10,310,8,8,271.05,0,0,1,Clear,314,65
2012-10-08 4:00:00,None,48,7,300,6,6,270.63,0,0,1,Clear,779,133
2012-10-08 5:00:00,None,48,8,290,2,2,270.33,0,0,1,Clear,2571,194
2012-10-08 6:00:00,None,52,6,290,6,6,269.61,0,0,20,Clouds,5563,134
2012-10-08 7:00:00,None,52,8,280,9,9,270.01,0,0,20,Clouds,6676,273
2012-10-08 8:00:00,None,56,7,300,4,4,271.23,0,0,20,Clouds,5966,200
2012-10-08 9:00:00,None,55,8,310,6,6,273.71,0,0,20,Clouds,4832,224
2012-10-08 10:00:00,None,55,6,300,4,4,276.77,0,0,20,Clouds,4395,230
2012-10-08 11:00:00,None,59,5,300,7,7,279.47,0,0,20,Clouds,4411,208
2012-10-08 12:00:00,None,62,5,300,1,1,279.84,0,0,1,Clear,4648,183
2012-10-08 13:00:00,None,65,5,300,1,1,282.34,0,0,40,Clouds,4602,226
2012-10-08 14:00:00,None,69,5,300,9,9,282.94,0,0,40,Clouds,5125,215
2012-10-08 15:00:00,None,69,7,310,1,1,283.48,0,0,1,Clear,5502,76
2012-10-08 16:00:00,None,69,5,320,5,5,284.33,0,0,1,Clear,5979,183
2012-10-08 17:00:00,None,69,6,330,9,9,284.48,0,0,40,Clouds,5663,87
2012-10-08 18:00:00,None,74,4,320,1,1,284.23,0,0,40,Clouds,4259,51
2012-10-08 19:00:00,None,74,4,330,8,8,281.99,0,0,20,Clouds,3069,73
2012-10-08 20:00:00,None,69,5,330,6,6,279.81,0,0,1,Clear,2378,208
2012-10-08 21:00:00,None,64,4,340,5,5,279.35,0,0,1,Clear,2030,99
2012-10-08 22:00:00,None,55,6,340,5,5,278.9,0,0,1,Clear,1400,16
2012-10-08 23:00:00,None,59,5,330,8,8,278.46,0,0,1,Clear,917,272
2012-10-09 0:00:00,None,41,4,340,8,8,277.78,0,0,1,Clear,515,131
2012-10-09 1:00:00,None,41,4,350,1,1,277.27,0,0,1,Clear,302,173
2012-10-09 2:00:00,None,41,4,310,9,9,277.47,0,0,1,Clear,251,125
2012-10-09 4:00:00,None,45,2,320,8,8,276.97,0,0,20,Clouds,798,22
2012-10-09 5:00:00,None,41,5,350,7,7,276.52,0,0,40,Clouds,2678,29
2012-10-09 6:00:00,None,38,3,350,8,8,276.6,0,0,40,Clouds,5733,210
2012-10-09 7:00:00,None,38,2,360,4,4,277.31,0,0,75,Clouds,6449,263
2012-10-09 8:00:00,None,41,1,290,6,6,278.38,0,0,90,Clouds,5765,95
2012-10-09 9:00:00,None,48,1,270,3,3,279.35,0,0,90,Clouds,5599,189
2012-10-09 10:00:00,None,51,1,250,2,2,281.37,0,0,90,Clouds,4534,246
2012-10-09 11:00:00,None,59,0,0,4,4,283.11,0,0,90,Clouds,4691,70
2012-10-09 12:00:00,None,64,1,250,8,8,284.08,0,0,75,Clouds,5067,224
2012-10-09 13:00:00,None,69,0,0,4,4,285.14,0,0,75,Clouds,5030,224
2012-10-09 14:00:00,None,69,0,0,1,1,286.35,0,0,90,Clouds,5300,99
2012-10-09 15:00:00,None,69,1,220,6,6,287.23,0,0,100,Rain,5777,105
2012-10-09 16:00:00,None,80,1,200,1,1,288.53,0,0,90,Clouds,6349,70
2012-10-09 17:00:00,None,79,1,200,8,8,290.37,0,0,90,Clouds,6127,65
2012-10-09 18:00:00,None,79,1,200,6,6,290.13,0,0,90,Clouds,4460,229
2012-10-09 19:00:00,None,74,2,230,6,6,288.86,0,0,75,Clouds,3418,103
2012-10-09 20:00:00,None,74,0,0,4,4,287.36,0,0,90,Clouds,2775,49
2012-10-09 21:00:00,None,74,3,220,1,1,285.11,0,0,90,Clouds,2306,257
2012-10-09 22:00:00,None,51,5,230,2,2,283.46,0,0,90,Clouds,1846,226
2012-10-09 23:00:00,None,44,4,230,4,4,282.45,0,0,90,Clouds,947,163
2012-10-10 0:00:00,None,42,3,220,7,7,281.88,0,0,90,Clouds,494,71
2012-10-10 1:00:00,None,31,4,230,3,3,281.78,0,0,90,Clouds,332,249
2012-10-10 2:00:00,None,27,5,220,1,1,281.09,0,0,75,Clouds,261,199
2012-10-10 3:00:00,None,31,4,210,5,5,281.17,0,0,90,Clouds,361,155
2012-10-10 6:00:00,None,25,4,210,3,3,281.25,0,0,92,Clear,5875,19
2012-10-10 7:00:00,None,21,6,220,2,2,281.25,0,0,99,Rain,6793,139
2012-10-10 7:00:00,None,23,3,220,3,3,281.25,0,0,99,Drizzle,6793,69
2012-10-10 8:00:00,None,27,2,170,2,2,280.1,0,0,99,Rain,6283,184
2012-10-10 8:00:00,None,33,3,150,7,7,280.1,0,0,99,Drizzle,6283,82
2012-10-10 9:00:00,None,33,3,160,3,3,279.61,0,0,99,Rain,5680,248
2012-10-10 9:00:00,None,36,3,170,6,6,279.61,0,0,99,Drizzle,5680,188
2012-10-10 10:00:00,None,39,3,170,2,2,279.67,0,0,99,Clear,4632,76
2012-10-10 11:00:00,None,45,2,130,2,2,280.19,0,0,1,Clear,4887,90
2012-10-10 12:00:00,None,51,2,140,3,3,282.09,0,0,75,Clouds,5030,86
2012-10-10 13:00:00,None,42,2,200,7,7,282.26,0,0,75,Clouds,5067,257
2012-10-10 14:00:00,None,45,2,195,9,9,282.05,0,0,90,Clouds,5227,204
2012-10-10 15:00:00,None,48,3,190,2,2,281.59,0,0,90,Clouds,5610,77
2012-10-10 16:00:00,None,52,2,190,2,2,281.23,0,0,81,Clear,6286,65
2012-10-10 18:00:00,None,52,2,180,8,8,282.6,0,0,81,Clear,4775,108
2012-10-10 19:00:00,None,56,2,190,8,8,282.6,0,0,81,Clear,3340,279
2012-10-10 20:00:00,None,52,3,170,7,7,282.6,0,0,81,Clear,3013,85
2012-10-10 21:00:00,None,52,2,170,6,6,282.6,0,0,81,Clear,2603,75
2012-10-10 22:00:00,None,49,3,150,9,9,282.6,0,0,81,Clear,1910,42
2012-10-10 23:00:00,None,43,4,180,5,5,282.6,0,0,81,Clear,1037,278
2012-10-11 1:00:00,None,43,4,180,4,4,273.9,0,0,1,Clear,347,39
2012-10-11 3:00:00,None,43,5,170,4,4,274.4,0,0,75,Clouds,350,35
2012-10-11 4:00:00,None,43,4,180,8,8,274.05,0,0,75,Clouds,850,219
2012-10-11 5:00:00,None,41,5,200,5,5,273.71,0,0,40,Clouds,2791,278
2012-10-11 6:00:00,None,41,4,200,6,6,272.66,0,0,1,Clear,5809,132
2012-10-11 7:00:00,None,27,5,210,1,1,272.65,0,0,1,Clear,6798,42
2012-10-11 8:00:00,None,31,4,260,8,8,272.52,0,0,1,Clear,6304,152
2012-10-11 9:00:00,None,36,6,280,8,8,275.19,0,0,20,Clouds,5291,154
2012-10-11 10:00:00,None,44,6,280,9,9,275.34,0,0,1,Clear,4638,271
2012-10-11 14:00:00,None,47,7,300,8,8,284.1,0,0,50,Clear,5557,14
2012-10-11 15:00:00,None,54,7,300,1,1,284.1,0,0,50,Clear,5818,170
2012-10-11 16:00:00,None,53,2,290,2,2,283.78,0,0,75,Clouds,6272,153
2012-10-11 17:00:00,None,57,1,230,9,9,283.52,0,0,75,Clouds,5944,161
2012-10-11 18:00:00,None,57,2,220,3,3,283.32,0,0,90,Clouds,4949,14
2012-10-11 19:00:00,None,61,1,220,7,7,282.06,0,0,90,Clouds,3511,204
2012-10-11 20:00:00,None,61,3,220,6,6,281.95,0,0,90,Clouds,3039,134
2012-10-11 21:00:00,None,63,2,253,5,5,281.81,0,0,90,Clouds,2679,85
2012-10-11 22:00:00,None,65,1,286,3,3,282.16,0,0,90,Clouds,2094,178
2012-10-11 23:00:00,None,68,0,320,4,4,282.53,0,0,90,Clouds,1284,226
2012-10-12 0:00:00,None,66,3,260,6,6,283.91,0,0,90,Clouds,630,192
2012-10-12 1:00:00,None,65,7,310,6,6,284.64,0,0,90,Clouds,410,122
2012-10-12 2:00:00,None,87,4,280,3,3,284.61,0,0,90,Clouds,331,285
2012-10-12 3:00:00,None,75,3,217,6,6,283.18,0,0,72,Drizzle,372,187
2012-10-12 4:00:00,None,75,5,260,8,8,282.26,0,0,72,Rain,739,134
2012-10-12 5:00:00,None,57,7,270,7,7,280.77,0,0,72,Drizzle,2561,208
2012-10-12 6:00:00,None,39,9,270,1,1,278.53,0,0,75,Clouds,5586,147
2012-10-12 7:00:00,None,42,6,290,1,1,277.64,0,0,75,Clouds,6992,227
2012-10-12 8:00:00,None,42,6,270,8,8,277.9,0,0,90,Clouds,5860,177
2012-10-12 9:00:00,None,49,4,313,9,9,278.18,0,0,90,Clouds,5230,143
2012-10-12 10:00:00,None,47,5,305,8,8,279.29,0,0,75,Clouds,4864,170
2012-10-12 11:00:00,None,45,7,297,4,4,280.45,0,0,75,Clouds,5146,281
2012-10-12 12:00:00,None,45,7,297,4,4,280.95,0,0,40,Clouds,5526,289
2012-10-12 13:00:00,None,45,7,297,3,3,281.74,0,0,40,Clouds,5383,257
2012-10-12 14:00:00,None,45,7,297,7,7,281.84,0,0,75,Clouds,5758,231
2012-10-12 15:00:00,None,45,7,297,1,1,282.45,0,0,75,Clouds,5889,181
2012-10-12 16:00:00,None,45,7,297,1,1,282.2,0,0,75,Clouds,6057,268
2012-10-12 17:00:00,None,57,5,288,2,2,281.54,0,0,40,Clouds,6028,265
2012-10-12 18:00:00,None,69,3,280,4,4,280.21,0,0,20,Clouds,5257,177
2012-10-12 23:00:00,None,66,4,285,1,1,282.2,0,0,56,Clear,1897,129
2012-10-13 0:00:00,None,64,4,290,5,5,272.58,0,0,1,Clear,1335,28
2012-10-13 1:00:00,None,64,4,300,2,2,272.06,0,0,1,Clear,769,256
2012-10-13 2:00:00,None,64,3,280,5,5,270.99,0,0,1,Clear,570,214
2012-10-13 3:00:00,None,74,3,260,5,5,270.29,0,0,20,Clouds,413,76
2012-10-13 4:00:00,None,74,2,260,6,6,269.48,0,0,1,Clear,399,194
2012-10-13 5:00:00,None,86,2,260,9,9,269.27,0,0,1,Clear,740,117
2012-10-13 6:00:00,None,64,2,270,3,3,268.91,0,0,1,Clear,1420,174
2012-10-13 7:00:00,None,80,1,240,3,3,268.98,0,0,75,Clouds,2220,130
2012-10-13 8:00:00,None,68,2,244,3,3,269.23,0,0,40,Clouds,3479,93
2012-10-13 9:00:00,None,57,3,248,2,2,272.61,0,0,40,Clouds,4546,270
2012-10-13 10:00:00,None,45,3,252,8,8,276.78,0,0,20,Clouds,4579,116
2012-10-13 11:00:00,None,34,4,257,6,6,279.22,0,0,1,Clear,4438,132
2012-10-13 12:00:00,None,34,4,257,6,6,280.35,0,0,1,Clear,4623,82
2012-10-13 13:00:00,None,29,6,260,5,5,281.81,0,0,1,Clear,4440,163
2012-10-13 14:00:00,None,29,4,250,8,8,283.05,0,0,1,Clear,4495,298
2012-10-13 15:00:00,None,34,2,220,9,9,283.96,0,0,1,Clear,4483,106
2012-10-13 16:00:00,None,39,2,140,2,2,284.53,0,0,1,Clear,4591,287
2012-10-13 17:00:00,None,39,3,130,5,5,284.44,0,0,1,Clear,4477,263
2012-10-13 18:00:00,None,42,2,120,3,3,283.64,0,0,1,Clear,4221,91
2012-10-13 19:00:00,None,37,3,150,3,3,281.85,0,0,20,Clouds,3672,26
2012-10-13 20:00:00,None,37,4,160,6,6,281.38,0,0,1,Clear,3015,189
2012-10-13 21:00:00,None,32,5,190,1,1,281.84,0,0,75,Clouds,2769,225
2012-10-13 22:00:00,None,34,7,210,8,8,282.23,0,0,90,Clouds,2875,31
2012-10-13 23:00:00,None,37,6,220,6,6,282.18,0,0,90,Clouds,1931,245
2012-10-14 0:00:00,None,37,6,240,4,4,282.49,0,0,90,Clouds,1309,220
2012-10-14 1:00:00,None,40,3,270,1,1,282.54,0,0,90,Clouds,870,295
2012-10-14 2:00:00,None,43,5,320,2,2,282.58,0,0,90,Clouds,654,216
2012-10-14 3:00:00,None,52,6,350,8,8,282.23,0,0,90,Clouds,364,264
2012-10-14 4:00:00,None,80,3,360,9,9,282.08,0,0,90,Clouds,262,20
2012-10-14 5:00:00,None,75,5,350,4,4,282.23,0,0,90,Clouds,505,43
2012-10-14 6:00:00,None,75,7,350,4,4,282.24,0,0,90,Clouds,861,130
2012-10-14 7:00:00,None,60,5,360,4,4,282.24,0,0,90,Clouds,1132,245
2012-10-14 8:00:00,None,52,6,330,1,1,282.24,0,0,57,Mist,1797,192
2012-10-14 9:00:00,None,42,9,330,3,3,282.43,0,0,57,Drizzle,2685,87
2012-10-14 9:00:00,None,37,5,350,8,8,282.43,0,0,57,Mist,2685,132
2012-10-14 9:00:00,None,26,7,330,7,7,282.43,0,0,57,Haze,2685,285
2012-10-14 10:00:00,None,25,6,320,6,6,282.33,0,0,57,Drizzle,3370,217
2012-10-14 10:00:00,None,26,5,320,6,6,282.33,0,0,57,Mist,3370,195
2012-10-14 11:00:00,None,21,5,350,6,6,282.82,0,0,57,Drizzle,3662,26
2012-10-14 11:00:00,None,24,7,330,2,2,282.82,0,0,57,Mist,3662,299
2012-10-14 12:00:00,None,25,6,328,7,7,283.33,0,0,57,Mist,4076,263
2012-10-14 12:00:00,None,26,6,327,8,8,283.33,0,0,57,Rain,4076,108
2012-10-14 12:00:00,None,28,6,326,1,1,283.33,0,0,57,Drizzle,4076,156
2012-10-14 13:00:00,None,29,6,325,1,1,283.75,0,0,93,Rain,4128,123
2012-10-14 13:00:00,None,31,5,324,4,4,283.75,0,0,93,Mist,4128,106
2012-10-14 13:00:00,None,74,0,0,2,2,283.75,0,0,93,Drizzle,4128,179
2012-10-14 14:00:00,None,59,1,340,2,2,284.09,0,0,93,Mist,4358,208
2012-10-14 14:00:00,None,59,1,310,3,3,284.09,0,0,93,Rain,4358,186
2012-10-14 14:00:00,None,68,0,0,4,4,284.09,0,0,93,Drizzle,4358,133
2012-10-14 15:00:00,None,74,0,0,8,8,284.55,0,0,93,Mist,4342,166
2012-10-14 15:00:00,None,92,0,0,6,6,284.55,0,0,93,Rain,4342,104
2012-10-14 16:00:00,None,79,0,0,9,9,284.68,0,0,93,Mist,4234,295
2012-10-14 17:00:00,None,74,0,0,5,5,284.64,0,0,93,Rain,4271,108
2012-10-14 17:00:00,None,80,0,0,5,5,284.64,0,0,93,Mist,4271,244
2012-10-14 18:00:00,None,74,0,0,3,3,284.4,0,0,93,Mist,4080,199
2012-10-14 19:00:00,None,55,2,150,2,2,284.17,0,0,93,Mist,3453,282
2012-10-14 20:00:00,None,38,4,130,8,8,284.03,0,0,93,Mist,2718,27
2012-10-14 21:00:00,None,36,3,0,5,5,283.58,0,0,93,Mist,2439,183
2012-10-14 22:00:00,None,31,4,160,4,4,283.04,0,0,93,Mist,1819,129
2012-10-14 23:00:00,None,24,5,140,9,9,281.95,0,0,93,Mist,1002,265
2012-10-14 23:00:00,None,19,5,170,2,2,281.95,0,0,93,Fog,1002,105
2012-10-15 0:00:00,None,18,4,170,7,7,281.61,0,0,93,Mist,542,40
2012-10-15 0:00:00,None,20,6,170,6,6,281.61,0,0,93,Fog,542,106
2012-10-15 1:00:00,None,23,6,160,4,4,281.57,0,0,85,Fog,303,202
2012-10-15 2:00:00,None,26,4,150,5,5,281.42,0,0,85,Fog,239,242
2012-10-15 3:00:00,None,28,2,0,2,2,281.29,0,0,85,Mist,335,55
2012-10-15 3:00:00,None,28,5,140,6,6,281.29,0,0,85,Fog,335,245
2012-10-15 4:00:00,None,28,4,140,4,4,281.02,0,0,85,Mist,810,58
2012-10-15 4:00:00,None,31,5,140,2,2,281.02,0,0,85,Fog,810,171
2012-10-15 5:00:00,None,31,5,160,4,4,280.82,0,0,85,Mist,2606,294
2012-10-15 5:00:00,None,39,5,150,1,1,280.82,0,0,85,Fog,2606,143
2012-10-15 6:00:00,None,49,5,170,6,6,280.39,0,0,85,Mist,5714,266
2012-10-15 7:00:00,None,66,5,170,6,6,280.19,0,0,100,Mist,6798,192
2012-10-15 8:00:00,None,75,4,160,9,9,279.82,0,0,100,Mist,6114,36
2012-10-15 9:00:00,None,70,4,160,1,1,279.75,0,0,100,Mist,5094,149
